name,id,desc,type,access,val
"AFreezeExtMaxTemp",53,"Antifreeze procedure maximum external temperature",REAL,RW,6.00
"AFreezeExtMinTemp",54,"Antifreeze procedure minimum external temperature",REAL,RW,0.00
"AFreezeHeatMaxT",55,"Antifreeze procedure max time",UINT,RW,180
"AFreezeHeatMinT",56,"Antifreeze procedure minimum time",UINT,RW,10
"AI_ReadFnt[10].Ch",140,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[10].Param.Dir",145,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[10].Param.Max_Val",148,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[10].Param.Min_Val",147,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[10].Param.Offset",146,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[10].Param.Typ",144,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[11].Ch",150,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[11].Param.Dir",151,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[11].Param.Max_Val",154,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[11].Param.Min_Val",155,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[11].Param.Offset",157,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[11].Param.Typ",156,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[12].Ch",159,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[12].Param.Dir",164,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[12].Param.Max_Val",165,"Analog input functions - Maximum value",REAL,RW,1000.00
"AI_ReadFnt[12].Param.Min_Val",166,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[12].Param.Offset",162,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[12].Param.Typ",163,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[13].Ch",168,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[13].Param.Dir",169,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[13].Param.Max_Val",175,"Analog input functions - Maximum value",REAL,RW,1500.00
"AI_ReadFnt[13].Param.Min_Val",174,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[13].Param.Offset",173,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[13].Param.Typ",171,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[14].Ch",179,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[14].Param.Dir",182,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[14].Param.Max_Val",183,"Analog input functions - Maximum value",REAL,RW,1500.00
"AI_ReadFnt[14].Param.Min_Val",184,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[14].Param.Offset",180,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[14].Param.Typ",181,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[15].Ch",185,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[15].Param.Dir",191,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[15].Param.Max_Val",192,"Analog input functions - Maximum value",REAL,RW,100.00
"AI_ReadFnt[15].Param.Min_Val",193,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[15].Param.Offset",189,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[15].Param.Typ",190,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[16].Ch",199,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[16].Param.Dir",201,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[16].Param.Max_Val",198,"Analog input functions - Maximum value",REAL,RW,45.00
"AI_ReadFnt[16].Param.Min_Val",195,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[16].Param.Offset",197,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[16].Param.Typ",196,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[17].Ch",204,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[17].Param.Dir",209,"Analog input functions - Direction",USINT,RW,0
